index	SI	LAB	MOHO	CTD	SV	PV	GEOID	FA	RHO_C	BG	EMAG2_CLASS	DEM	RHO_L	VOLC_DIST_W	REG	GLIM	lon	lat	grid_index	heat-flow (mW/m2)
3224	-0.4257829969708786	181.4899506729474	41.81057358001918	37.04291831629883	0.0545763775424151	0.0066031748659787	-29.910270948031503	-13.667577282242648	2881.3730675831557	-45.52138931364405	-0.0105988303389799	291.0	3340.653601058556	0.0	1	6	-95.96	37.283	872935	69.0
3225	-0.4872664054123434	182.19868568042688	42.28217634991141	37.08528824707113	0.0382273849059538	0.0068733797077094	-29.133283650086717	-16.023004420774846	2824.5250133553745	-43.0507943867227	0.0780921829792258	223.0	3319.218182567023	0.0	2	3	-95.92	34.94	851347	43.7
3226	0.2945093934425035	253.5000416775928	38.85543132915582	37.45226304677024	0.0675304570476504	0.0043633514949069	-29.192047985410813	0.3741721286149442	2847.061436922123	-31.69969932787053	0.139063409830806	275.0	3349.6405948248857	0.0	1	9	-95.85	50.25	989870	43.0
3227	-0.213241812189522	242.1255298997356	42.17778641347395	39.95995233177416	0.0711794439390707	0.0014198380219176	-27.794526469605373	15.448813635862436	2884.232535964923	-24.513680526830985	-0.0257551040547848	293.0	3348.5783758529224	0.0	1	5	-95.815	40.857	905317	44.0
3228	0.711616929288194	141.34683951266834	34.92441520731128	25.088547331474015	0.0200070752872458	0.0006541997183882	-26.94107352319304	3.98516139870157	2729.9393694679898	-12.196479807347718	0.0578002698345597	142.0	3301.2295751635347	0.0	2	1	-95.73	32.67	831559	60.4
3229	0.711616929288194	141.34683951266834	34.92441520731128	25.088547331474015	0.0200070752872458	0.0006541997183882	-26.94107352319304	3.98516139870157	2729.9393694679898	-12.196479807347718	0.0578002698345597	142.0	3301.2295751635347	0.0	2	1	-95.73	32.67	831559	63.0
3230	0.711616929288194	141.34683951266834	34.92441520731128	25.088547331474015	0.0200070752872458	0.0006541997183882	-26.94107352319304	3.98516139870157	2729.9393694679898	-12.196479807347718	0.0578002698345597	142.0	3301.2295751635347	0.0	2	1	-95.73	32.67	831559	67.0
3231	0.711616929288194	141.34683951266834	34.92441520731128	25.088547331474015	0.0200070752872458	0.0006541997183882	-26.94107352319304	3.98516139870157	2729.9393694679898	-12.196479807347718	0.0578002698345597	142.0	3301.2295751635347	0.0	2	1	-95.73	32.67	831559	65.6
3232	0.711616929288194	141.34683951266834	34.92441520731128	25.088547331474015	0.0200070752872458	0.0006541997183882	-26.94107352319304	3.98516139870157	2729.9393694679898	-12.196479807347718	0.0578002698345597	142.0	3301.2295751635347	0.0	2	1	-95.73	32.67	831559	62.5
3233	0.711616929288194	141.34683951266834	34.92441520731128	25.088547331474015	0.0200070752872458	0.0006541997183882	-26.94107352319304	3.98516139870157	2729.9393694679898	-12.196479807347718	0.0578002698345597	142.0	3301.2295751635347	0.0	2	1	-95.73	32.67	831559	76.7
3234	-0.6570491920359582	181.3208499028424	41.87652964263189	41.18424145924992	0.0461665477100108	0.0049414560911672	-29.33097449475313	-11.747129449780235	2839.5471755210374	-39.489219605012856	0.0700366488934835	169.0	3323.7007392872856	0.0	1	3	-95.72	35.93	860343	64.8
3235	-0.6266814896163161	178.1193098974814	41.2778620168222	35.64159167856433	0.035083017503715	0.0047031367718698	-29.47057696715884	-17.95285092725848	2799.469437444091	-43.94990021246308	-0.0795417682266111	320.0	3312.437419138817	0.0	2	3	-95.59	34.76	849550	32.7
3236	-0.7271612499973479	201.32411815086272	44.52597822662008	37.64624845792227	0.0390319204871055	0.0048638579923264	-29.6184024774902	-20.31592303032737	2821.0021415952874	-47.14781145394963	0.0373005503476392	279.0	3315.6645884442305	0.0	1	1	-95.53	35.16	853148	58.4
3237	-0.6852420687589313	186.03425437199468	42.433117506169296	36.88217690378618	0.0376079782409936	0.0048187911186859	-29.58070903670993	-19.882300037916696	2802.94173393712	-46.39075879962678	-0.023813939145189	246.0	3312.461259541471	0.0	2	3	-95.51	34.95	851349	50.0
3238	-0.6852420687589313	186.03425437199468	42.433117506169296	36.88217690378618	0.0376079782409936	0.0048187911186859	-29.58070903670993	-19.882300037916696	2802.94173393712	-46.39075879962678	-0.023813939145189	246.0	3312.461259541471	0.0	2	3	-95.51	34.97	851349	46.2
3239	-0.5325043629538938	212.3775360006265	41.30883018610048	36.41603799427115	0.0651305544009834	0.0056499411194482	-31.14910387589285	-24.65374874746694	2885.2654767814	-59.51757607152608	0.0947121599366612	311.0	3351.650789270242	0.0	1	1	-95.478	39.012	889128	48.0
3240	0.422987162855614	133.52298867955713	34.642813857862066	22.09760254118722	0.0175619785932804	-0.0005298714367729	-26.85094847091716	4.596364639317136	2723.002473871113	-8.783536583599211	-0.0568703343601649	107.0	3300.346367064028	0.0	2	3	-95.45	31.93	824364	99.7
3241	0.422987162855614	133.52298867955713	34.642813857862066	22.09760254118722	0.0175619785932804	-0.0005298714367729	-26.85094847091716	4.596364639317136	2723.002473871113	-8.783536583599211	-0.0568703343601649	107.0	3300.346367064028	0.0	2	3	-95.45	31.93	824364	78.4
3242	0.422987162855614	133.52298867955713	34.642813857862066	22.09760254118722	0.0175619785932804	-0.0005298714367729	-26.85094847091716	4.596364639317136	2723.002473871113	-8.783536583599211	-0.0568703343601649	107.0	3300.346367064028	0.0	2	3	-95.45	31.93	824364	110.0
3243	0.422987162855614	133.52298867955713	34.642813857862066	22.09760254118722	0.0175619785932804	-0.0005298714367729	-26.85094847091716	4.596364639317136	2723.002473871113	-8.783536583599211	-0.0568703343601649	107.0	3300.346367064028	0.0	2	3	-95.44	31.955	824364	87.7
3244	-0.6852420687589313	186.03425437199468	42.433117506169296	36.88217690378618	0.0376079782409936	0.0048187911186859	-29.58070903670993	-19.882300037916696	2802.94173393712	-46.39075879962678	-0.023813939145189	246.0	3312.461259541471	0.0	2	3	-95.44	34.91	851349	42.1
3245	0.2877965265470059	255.9854078180049	38.51553006264045	36.50057866087269	0.0697736346928095	0.0043653546109461	-30.177363480655668	-1.3415456945671025	2842.4714766172697	-34.26299253365541	-0.0131418920538268	302.0	3352.2596768756066	0.0	1	9	-95.42	50.42	991671	32.0
3246	-0.7589828196772186	187.86763658363532	42.70781022749106	37.37085346263218	0.0386634976225983	0.0042252021221156	-30.042908979234483	-26.13140324438541	2816.8114885906034	-53.46665905752466	-0.0202067726321321	301.0	3312.212595849169	0.0	1	1	-95.39	35.05	853149	46.3
3247	-0.768052469503548	185.13448458015372	42.41082609239611	38.95773631594567	0.0418166731797136	0.0044914383216384	-29.89699580596584	-22.7265738052509	2821.443009606984	-50.50459649706188	0.025987349919119	181.0	3314.7776439639574	0.0	1	1	-95.37	35.22	854948	56.3
3248	-0.4675436425242754	183.4629327871588	41.86499479007802	37.19269866343921	0.057101397255853	0.0069216731149691	-30.22651184925641	-11.91750816803951	2889.4809819207603	-42.68188831898813	-0.0768483731803894	272.0	3341.650173874839	0.0	1	5	-95.21	37.33	872938	62.0
3249	0.2770372715553686	273.238069394056	42.79892703994621	33.758443792702806	0.0639893462575346	0.0033713201941517	-27.041926099332837	-1.0943572068634202	2874.2271404396406	-47.08993328767986	-0.0680624524634288	461.0	3344.176139340512	0.0	1	9	-95.2	47.15	961090	37.0
